City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,zarumilla,-3.5031,-80.2731,29.100000000000023,61,75,2.57,PE,1698595906
100,vorgashor,67.5833,63.95,-16.789999999999964,95,19,2.52,RU,1698595906
101,ribeira grande,38.5167,-28.7,18.760000000000048,63,40,5.66,PT,1698595907
102,pechora,65.1472,57.2244,-8.96999999999997,80,100,1.79,RU,1698595907
103,broken hill,-31.95,141.4333,16.340000000000032,35,65,8.69,AU,1698595851
104,talara,-4.5772,-81.2719,26.420000000000016,61,0,6.69,PE,1698595908
105,wakkanai,45.4094,141.6739,6.720000000000027,80,2,0.89,JP,1698595908
106,muisne,0.6,-80.0333,26.03000000000003,82,100,3.23,EC,1698595909
107,totness,5.8833,-56.3167,31.74000000000001,59,99,4.75,SR,1698595909
108,punta arenas,-53.15,-70.9167,7.840000000000032,36,89,8.79,CL,1698595910
109,ylitornio,66.3089,23.6773,-8.449999999999989,89,80,0.84,FI,1698595910
110,ulsteinvik,62.3432,5.8487,4.6200000000000045,57,0,3.13,NO,1698595911
111,shingu,33.7333,135.9833,11.200000000000045,81,0,2.92,JP,1698595911
112,niquelandia,-14.4739,-48.4597,38.18000000000001,24,46,2.7,BR,1698595912
113,tazovsky,67.4667,78.7,-15.239999999999952,94,29,2.03,RU,1698595701
114,poronaysk,49.2167,143.1167,0.5300000000000296,72,24,1.55,RU,1698595913
115,manokwari,-0.8667,134.0833,25.340000000000032,83,87,2.53,ID,1698595914
116,kudahuvadhoo,2.6708,72.8944,28.27000000000004,76,97,7.13,MV,1698595914
117,bethel,41.3712,-73.414,10.930000000000007,87,100,0.45,US,1698595915
118,mossel bay,-34.1831,22.146,15.270000000000039,56,4,10.82,ZA,1698595915
119,alice springs,-23.7,133.8833,21.75,11,86,2.57,AU,1698595916
120,praia da vitoria,38.7333,-27.0667,17.640000000000043,80,76,7.75,PT,1698595916
121,avarua,-21.2078,-159.775,21.03000000000003,73,100,2.57,CK,1698595917
122,weno,7.4515,151.8468,27.970000000000027,83,100,5.66,FM,1698595917
123,nalut,30.3333,10.85,29.420000000000016,14,68,2.29,LY,1698595918
124,port saint john's,-31.6229,29.5448,15.610000000000014,61,86,6.11,ZA,1698595918
125,puerto baquerizo moreno,-0.9,-89.6,27.55000000000001,69,40,5.14,EC,1698595919
126,ta`u,-14.2336,-169.5144,26.80000000000001,80,63,5.31,AS,1698595919
127,plettenberg bay,-34.0527,23.3716,14.730000000000018,56,12,7.38,ZA,1698595920
128,mahina,-17.5065,-149.489,22.870000000000005,88,20,2.06,PF,1698595920
129,sungai penuh,-2.0833,101.3833,17.920000000000016,87,25,1.17,ID,1698595921
130,puerto leguizamo,-0.1934,-74.7819,26.900000000000034,72,100,2.49,CO,1698595921
131,mikomeseng,2.1361,10.6132,24.060000000000002,92,97,0.55,GQ,1698595922
132,mitsamiouli,-11.3847,43.2844,26.910000000000025,78,36,5.03,KM,1698595923
133,st. john's,47.5649,-52.7093,10.150000000000034,70,56,4.47,CA,1698595924
134,bel ombre,-4.6167,55.4167,27.439999999999998,77,39,4.92,SC,1698595924
135,tofol,5.3248,163.0078,26.410000000000025,83,100,2.04,FM,1698595925
136,east london,-33.0153,27.9116,15.450000000000045,53,96,4.95,ZA,1698595925
137,huillapima,-28.7253,-65.9787,36.97000000000003,12,0,4.02,AR,1698595926
138,recani,31.2846,-4.2688,28.49000000000001,19,89,5.82,MA,1698595927
139,lihue,21.9789,-159.3672,21.77000000000004,88,40,3.6,US,1698595928
